Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83522;01/01/1980;0000;;25.4;;2.1;85.75;1;
83522;01/01/1980;1200;2.7;;19.2;;;;
83522;02/01/1980;0000;;27.3;;9.5;74.5;1;
83522;02/01/1980;1200;0.4;;19.7;;;;
83522;03/01/1980;0000;;29.6;;11.3;66.75;1.366667;
83522;03/01/1980;1200;0;;15.1;;;;
83522;04/01/1980;0000;;31.2;;10.6;65.5;1.2;
83522;04/01/1980;1200;0;;14.8;;;;
83522;05/01/1980;0000;;30.2;;10.1;69.25;2.233333;
83522;05/01/1980;1200;0;;17.3;;;;
83522;06/01/1980;0000;;30.6;;11.2;81;2.733333;
83522;06/01/1980;1200;0;;18.8;;;;
83522;07/01/1980;0000;;26.9;;2.3;89;1.7;
83522;07/01/1980;1200;5.1;;19.7;;;;
83522;08/01/1980;0000;;26.6;;1.5;87.25;2.066667;
83522;08/01/1980;1200;41.1;;19.3;;;;
83522;09/01/1980;0000;;27.3;;2.8;84.25;2.433333;
83522;09/01/1980;1200;0.2;;19.5;;;;
83522;10/01/1980;0000;;26;;1.4;78.25;2.733333;
83522;10/01/1980;1200;1.6;;19.6;;;;
83522;11/01/1980;0000;;26.8;;0.4;87.5;1.366667;
83522;11/01/1980;1200;0;;19.6;;;;
83522;12/01/1980;0000;;30;;0;73.25;1.2;
83522;12/01/1980;1200;11;;19.6;;;;
83522;13/01/1980;0000;;23.8;;0;90.5;1.9;
83522;13/01/1980;1200;18;;19.6;;;;
83522;14/01/1980;0000;;28.2;;4.9;86.25;1.566667;
83522;14/01/1980;1200;4.1;;19.9;;;;
83522;15/01/1980;0000;;27.8;;2.1;95;0.5;
83522;15/01/1980;1200;28.2;;20.4;;;;
83522;16/01/1980;0000;;24.3;;0.2;94.5;1.533333;
83522;16/01/1980;1200;31.3;;19.7;;;;
83522;17/01/1980;0000;;26.8;;1.1;93;2.033333;
83522;17/01/1980;1200;39.3;;19.9;;;;
83522;18/01/1980;0000;;27.2;;1.9;88.25;1.333333;
83522;18/01/1980;1200;22.6;;19.4;;;;
83522;19/01/1980;0000;;27.8;;3.6;82.5;1.566667;
83522;19/01/1980;1200;26.6;;18.8;;;;
83522;20/01/1980;0000;;31.2;;7.9;77.5;1.166667;
83522;20/01/1980;1200;0.2;;19.3;;;;
83522;21/01/1980;0000;;30.8;;8;79.5;1.7;
83522;21/01/1980;1200;1;;19;;;;
83522;22/01/1980;0000;;30.8;;4.3;82.75;0.833333;
83522;22/01/1980;1200;0;;20.8;;;;
83522;23/01/1980;0000;;30.4;;4.4;83;0.333333;
83522;23/01/1980;1200;6.4;;19.8;;;;
83522;24/01/1980;0000;;30.6;;7.3;76;1.033333;
83522;24/01/1980;1200;41;;20.1;;;;
83522;25/01/1980;0000;;29;;6.5;80.25;2.4;
83522;25/01/1980;1200;0.6;;19;;;;
83522;26/01/1980;0000;;29;;4;76.75;1.2;
83522;26/01/1980;1200;0;;20;;;;
83522;27/01/1980;0000;;30.5;;6.2;84;1.333333;
83522;27/01/1980;1200;24;;20;;;;
83522;28/01/1980;0000;;31;;6;77.5;1.2;
83522;28/01/1980;1200;0;;20.2;;;;
83522;29/01/1980;0000;;31;;7.1;76.5;1.9;
83522;29/01/1980;1200;1.7;;20.6;;;;
83522;30/01/1980;0000;;27;;0;86.5;2.233333;
83522;30/01/1980;1200;0;;21;;;;
83522;31/01/1980;0000;;29.2;;3.9;82.25;2.566667;
83522;31/01/1980;1200;3.5;;20.3;;;;
83522;01/02/1980;0000;;28;;4.4;85.75;1.4;
83522;01/02/1980;1200;4.3;;20;;;;
83522;02/02/1980;0000;;22.5;;0.2;95.75;1.7;
83522;02/02/1980;1200;19.8;;21;;;;
83522;03/02/1980;0000;;28.1;;2.2;92.25;1.7;
83522;03/02/1980;1200;20.8;;20.9;;;;
83522;04/02/1980;0000;;30.1;;6.4;77;1.033333;
83522;04/02/1980;1200;7.6;;20.2;;;;
83522;05/02/1980;0000;;29.1;;4.1;79.25;0.833333;
83522;05/02/1980;1200;0;;20.6;;;;
83522;06/02/1980;0000;;31.5;;11;72.5;1.7;
83522;06/02/1980;1200;0;;18.4;;;;
83522;07/02/1980;0000;;31.8;;7.1;77.25;0.866667;
83522;07/02/1980;1200;0;;19.2;;;;
